Operator,lke
env,Warm
Toy_TPC,PCB_Based
Note,"Bottom_HWDB=https://dbweb0.fnal.gov/cdbdev/view/component/D08100400001-00063,Bottom_CE=VD-0000,Bottom_Cover=0000,Bottom_FEMB=BNL_FEMB_IO-1865-1J_00094,Top_HWDB=EMPTY,Top_CE=EMPTY,Top_Cover=EMPTY,Top_FEMB=EMPTY"
FEMB ID,{'femb0': 'BNL_FEMB_IO-1865-1J_00094'}
NPK_min,"[4679, 4488, 4439, 4455, 4453, 4490, 4480, 4459, 4617, 4410, 4502, 4457, 4468, 4579, 4414, 4444, 4501, 4379, 4455, 4410, 4431, 4351, 4348, 4335, 4382, 4360, 4377, 4377, 4321, 4402, 4336, 4292, 4564, 4248, 4465, 4431, 4407, 4455, 4374, 4459, 4608, 4406, 4308, 4456, 4444, 4491, 4399, 4436, 4417, 4322, 4421, 4421, 4383, 4414, 4393, 4378, 4364, 4192, 4332, 4413, 4238, 4283, 4270, 4374, 4532, 4528, 4497, 4396, 4529, 4488, 4354, 4447, 4633, 4427, 4475, 4571, 4546, 4449, 4431, 4487, 4373, 4445, 4416, 4346, 4331, 4343, 4240, 4500, 4613, 4438, 4508, 4520, 4535, 4550, 4435, 4451, 4483, 4476, 4515, 4483, 4453, 4444, 4364, 4411, 4518, 4311, 4491, 4338, 4433, 4532, 4424, 4460, 4533, 4423, 4421, 4469, 4446, 4436, 4351, 4568, 4550, 4468, 4407, 4486, 4518, 4447, 4500, 4405]"
BL_mean,"[8737.0, 8693.0, 8636.0, 8660.0, 8658.0, 8690.0, 8685.0, 8637.0, 8716.0, 8601.0, 8706.0, 8660.0, 8662.0, 8746.0, 8596.0, 8615.0, 8673.0, 8639.0, 8722.0, 8667.0, 8701.0, 8663.0, 8623.0, 8597.0, 8565.0, 8613.0, 8677.0, 8634.0, 8584.0, 8672.0, 8579.0, 8569.0, 8664.0, 8476.0, 8697.0, 8639.0, 8614.0, 8673.0, 8576.0, 8693.0, 8747.0, 8616.0, 8580.0, 8665.0, 8639.0, 8703.0, 8572.0, 8611.0, 8611.0, 8596.0, 8716.0, 8715.0, 8662.0, 8671.0, 8662.0, 8655.0, 8512.0, 8464.0, 8596.0, 8683.0, 8495.0, 8557.0, 8516.0, 8601.0, 8663.0, 8744.0, 8703.0, 8626.0, 8759.0, 8721.0, 8574.0, 8692.0, 8771.0, 8673.0, 8721.0, 8757.0, 8761.0, 8662.0, 8651.0, 8698.0, 8529.0, 8687.0, 8656.0, 8601.0, 8616.0, 8629.0, 8522.0, 8759.0, 8721.0, 8681.0, 8735.0, 8769.0, 8768.0, 8771.0, 8649.0, 8658.0, 8613.0, 8726.0, 8742.0, 8726.0, 8747.0, 8708.0, 8642.0, 8706.0, 8654.0, 8571.0, 8722.0, 8614.0, 8646.0, 8785.0, 8647.0, 8698.0, 8651.0, 8633.0, 8650.0, 8675.0, 8659.0, 8654.0, 8576.0, 8762.0, 8653.0, 8679.0, 8660.0, 8691.0, 8724.0, 8673.0, 8707.0, 8603.0]"
BL_max,"[8737, 8693, 8636, 8660, 8658, 8690, 8685, 8637, 8716, 8601, 8706, 8660, 8662, 8746, 8596, 8615, 8673, 8639, 8722, 8667, 8701, 8663, 8623, 8597, 8565, 8613, 8677, 8634, 8584, 8672, 8579, 8569, 8664, 8476, 8697, 8639, 8614, 8673, 8576, 8693, 8747, 8616, 8580, 8665, 8639, 8703, 8572, 8611, 8611, 8596, 8716, 8715, 8662, 8671, 8662, 8655, 8512, 8464, 8596, 8683, 8495, 8557, 8516, 8601, 8663, 8744, 8703, 8626, 8759, 8721, 8574, 8692, 8771, 8673, 8721, 8757, 8761, 8662, 8651, 8698, 8529, 8687, 8656, 8601, 8616, 8629, 8522, 8759, 8721, 8681, 8735, 8769, 8768, 8771, 8649, 8658, 8613, 8726, 8742, 8726, 8747, 8708, 8642, 8706, 8654, 8571, 8722, 8614, 8646, 8785, 8647, 8698, 8651, 8633, 8650, 8675, 8659, 8654, 8576, 8762, 8653, 8679, 8660, 8691, 8724, 8673, 8707, 8603]"
BL_min,"[8737, 8693, 8636, 8660, 8658, 8690, 8685, 8637, 8716, 8601, 8706, 8660, 8662, 8746, 8596, 8615, 8673, 8639, 8722, 8667, 8701, 8663, 8623, 8597, 8565, 8613, 8677, 8634, 8584, 8672, 8579, 8569, 8664, 8476, 8697, 8639, 8614, 8673, 8576, 8693, 8747, 8616, 8580, 8665, 8639, 8703, 8572, 8611, 8611, 8596, 8716, 8715, 8662, 8671, 8662, 8655, 8512, 8464, 8596, 8683, 8495, 8557, 8516, 8601, 8663, 8744, 8703, 8626, 8759, 8721, 8574, 8692, 8771, 8673, 8721, 8757, 8761, 8662, 8651, 8698, 8529, 8687, 8656, 8601, 8616, 8629, 8522, 8759, 8721, 8681, 8735, 8769, 8768, 8771, 8649, 8658, 8613, 8726, 8742, 8726, 8747, 8708, 8642, 8706, 8654, 8571, 8722, 8614, 8646, 8785, 8647, 8698, 8651, 8633, 8650, 8675, 8659, 8654, 8576, 8762, 8653, 8679, 8660, 8691, 8724, 8673, 8707, 8603]"
Result,True
name,"['BIAS', 'LArASIC', 'ColdDATA', 'ColdADC']"
V_set/V,"['5.000', '3.000', '3.000', '3.500']"
V_meas/V,"['5.0', '2.868', '2.953', '3.42']"
I_meas/A,"['0.0', '0.681', '0.232', '1.556']"
P_meas/W,"['0.0', '1.953', '0.685', '5.322']"
Total Power,"['7.96', '', '', '']"
CDVDDA,1188
CDVDDIO_HALF,2228
ADCRVDDD1P2,1097
ADCLVDDD1P2,1095
FERVDDP,1662
FELVDDP,1666
ADCRP25V_1_HALF,2243
ADCLP25V_1_HALF,2244
ADCRP25V_HALF,2242
ADCLP25V_HALF,2244
GND,17
ASIC #,"['0', '1', '2', '3', '4', '5', '6', '7']"
FE T,"['871.5', '881.1', '873.1', '870.3', '881.1', '881.3', '878.0', '879.5']"
FE BGP,"['1173.7', '1178.5', '1176.7', '1175.0', '1177.9', '1181.0', '1179.5', '1183.8']"
ADC_VCMI,"['903.9', '902.6', '902.6', '903.1', '902.9', '903.1', '903.2', '902.6']"
ADC_VCMO,"['1188.6', '1188.6', '1189.1', '1188.8', '1188.1', '1187.2', '1188.4', '1188.6']"
ADC_VREFP,"['1905.7', '1902.6', '1902.5', '1903.5', '1904.2', '1902.2', '1904.3', '1902.8']"
ADC_VREFN,"['467.1', '468.2', '470.4', '469.1', '466.9', '470.3', '467.3', '468.0']"
VSSA,"['34.1', '37.6', '38.3', '35.8', '34.4', '36.1', '35.1', '37.6']"
